Cell Line	RNA-Seq	H3K27ac count in Cistrome DB
GM12878	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86658	34
H1ES	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90225	19
HepG2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86659	8
K562	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86660	57
NHEK	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78594	10
NHLF	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78595	3
Hela	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86661	1
MCF-7	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90237	68
NPC  (H1) ?	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM706049	?
A549	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90259	53
Hela-S3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86661	1
HepG2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86659	8
IMR90	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90263	19
LHCN-M2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958750	2
SK-N-SH	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90232	3
AG04450	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78585	1
BE2-C	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2453356	5
BJ	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90251	4
GM12891	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958747	3
GM12892	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958748	3
HCT-116	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958749	53
Jurkat	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93435	9
NHEK	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM958736	10
NHLF	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78595	3
PANC-1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93450	6
SK-N-SH	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90232	3
U87	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90176	1
